Frame,Bat Angle,Feedback
1,175.6,Swing too wide; reduces control.
2,173.9,Swing too wide; reduces control.
3,161.3,Swing too wide; reduces control.
4,171.5,Swing too wide; reduces control.
5,170.3,Swing too wide; reduces control.
6,172.4,Swing too wide; reduces control.
7,168.1,Swing too wide; reduces control.
8,167.0,Swing too wide; reduces control.
9,160.0,Swing too wide; reduces control.
10,171.1,Swing too wide; reduces control.
11,173.0,Swing too wide; reduces control.
12,167.3,Swing too wide; reduces control.
13,164.6,Swing too wide; reduces control.
14,164.3,Swing too wide; reduces control.
15,163.3,Swing too wide; reduces control.
16,163.9,Swing too wide; reduces control.
17,164.1,Swing too wide; reduces control.
18,164.5,Swing too wide; reduces control.
19,164.5,Swing too wide; reduces control.
20,164.7,Swing too wide; reduces control.
21,164.5,Swing too wide; reduces control.
22,164.6,Swing too wide; reduces control.
23,164.7,Swing too wide; reduces control.
24,165.1,Swing too wide; reduces control.
25,164.3,Swing too wide; reduces control.
26,163.6,Swing too wide; reduces control.
27,159.6,Good swing angle!
28,165.4,Swing too wide; reduces control.
29,161.0,Swing too wide; reduces control.
30,159.6,Good swing angle!
31,158.5,Good swing angle!
32,158.8,Good swing angle!
33,157.1,Good swing angle!
34,156.8,Good swing angle!
35,155.7,Good swing angle!
36,155.5,Good swing angle!
37,154.9,Good swing angle!
38,154.8,Good swing angle!
39,154.3,Good swing angle!
40,154.4,Good swing angle!
41,154.0,Good swing angle!
42,154.1,Good swing angle!
43,153.7,Good swing angle!
44,153.7,Good swing angle!
45,153.4,Good swing angle!
46,153.6,Good swing angle!
47,153.3,Good swing angle!
48,153.0,Good swing angle!
49,152.3,Good swing angle!
50,156.2,Good swing angle!
51,165.6,Swing too wide; reduces control.
52,172.5,Swing too wide; reduces control.
53,175.4,Swing too wide; reduces control.
54,179.6,Swing too wide; reduces control.
55,177.8,Swing too wide; reduces control.
56,179.6,Swing too wide; reduces control.
57,174.8,Swing too wide; reduces control.
58,173.0,Swing too wide; reduces control.
59,169.7,Swing too wide; reduces control.
60,171.9,Swing too wide; reduces control.
61,179.3,Swing too wide; reduces control.
62,165.8,Swing too wide; reduces control.
63,179.3,Swing too wide; reduces control.
64,163.6,Swing too wide; reduces control.
65,157.8,Good swing angle!
66,157.1,Good swing angle!
67,161.3,Swing too wide; reduces control.
68,168.5,Swing too wide; reduces control.
69,157.4,Good swing angle!
70,159.6,Good swing angle!
71,159.5,Good swing angle!
72,159.9,Good swing angle!
73,170.8,Swing too wide; reduces control.
74,176.4,Swing too wide; reduces control.
75,173.5,Swing too wide; reduces control.
76,171.5,Swing too wide; reduces control.
77,178.6,Swing too wide; reduces control.
78,163.5,Swing too wide; reduces control.
79,139.1,Good swing angle!
80,N/A,No pose detected
81,N/A,No pose detected
82,N/A,No pose detected
83,N/A,No pose detected
84,N/A,No pose detected
85,N/A,No pose detected
86,N/A,No pose detected
87,N/A,No pose detected
88,N/A,No pose detected
89,N/A,No pose detected
90,N/A,No pose detected
91,N/A,No pose detected
92,N/A,No pose detected
93,N/A,No pose detected
94,N/A,No pose detected
95,N/A,No pose detected
96,N/A,No pose detected
97,N/A,No pose detected
98,N/A,No pose detected
99,N/A,No pose detected
100,N/A,No pose detected
101,N/A,No pose detected
102,N/A,No pose detected
103,N/A,No pose detected
104,N/A,No pose detected
105,N/A,No pose detected
106,N/A,No pose detected
107,N/A,No pose detected
108,N/A,No pose detected
109,N/A,No pose detected
110,110.4,Increase bat swing angle for more power.
111,104.5,Increase bat swing angle for more power.
112,83.5,Increase bat swing angle for more power.
113,106.1,Increase bat swing angle for more power.
114,107.9,Increase bat swing angle for more power.
115,96.9,Increase bat swing angle for more power.
116,113.2,Increase bat swing angle for more power.
117,106.7,Increase bat swing angle for more power.
118,105.2,Increase bat swing angle for more power.
119,97.5,Increase bat swing angle for more power.
120,114.9,Increase bat swing angle for more power.
121,121.7,Good swing angle!
122,108.8,Increase bat swing angle for more power.
123,101.5,Increase bat swing angle for more power.
124,94.3,Increase bat swing angle for more power.
125,87.6,Increase bat swing angle for more power.
126,59.4,Increase bat swing angle for more power.
127,73.5,Increase bat swing angle for more power.
128,82.5,Increase bat swing angle for more power.
129,162.6,Swing too wide; reduces control.
130,159.9,Good swing angle!
131,166.3,Swing too wide; reduces control.
132,12.3,Increase bat swing angle for more power.
133,107.5,Increase bat swing angle for more power.
134,128.1,Good swing angle!
135,118.4,Increase bat swing angle for more power.
136,116.6,Increase bat swing angle for more power.
137,123.9,Good swing angle!
138,117.7,Increase bat swing angle for more power.
139,122.6,Good swing angle!
140,114.5,Increase bat swing angle for more power.
141,113.7,Increase bat swing angle for more power.
142,116.7,Increase bat swing angle for more power.
143,116.3,Increase bat swing angle for more power.
144,116.4,Increase bat swing angle for more power.
145,118.1,Increase bat swing angle for more power.
146,115.3,Increase bat swing angle for more power.
147,107.7,Increase bat swing angle for more power.
148,111.8,Increase bat swing angle for more power.
149,97.4,Increase bat swing angle for more power.
150,103.2,Increase bat swing angle for more power.
151,108.9,Increase bat swing angle for more power.
152,95.8,Increase bat swing angle for more power.
153,88.4,Increase bat swing angle for more power.
154,87.6,Increase bat swing angle for more power.
155,84.8,Increase bat swing angle for more power.
156,N/A,No pose detected
157,N/A,No pose detected
158,N/A,No pose detected
159,N/A,No pose detected
160,N/A,No pose detected
161,N/A,No pose detected
162,N/A,No pose detected
163,N/A,No pose detected
164,N/A,No pose detected
165,N/A,No pose detected
166,N/A,No pose detected
167,N/A,No pose detected
168,N/A,No pose detected
169,N/A,No pose detected
170,N/A,No pose detected
171,N/A,No pose detected
172,N/A,No pose detected
173,N/A,No pose detected
174,N/A,No pose detected
175,N/A,No pose detected
176,N/A,No pose detected
177,N/A,No pose detected
178,N/A,No pose detected
179,N/A,No pose detected
180,N/A,No pose detected
181,N/A,No pose detected
182,N/A,No pose detected
183,N/A,No pose detected
184,N/A,No pose detected
185,N/A,No pose detected
186,N/A,No pose detected
187,N/A,No pose detected
188,N/A,No pose detected
189,N/A,No pose detected
190,N/A,No pose detected
191,N/A,No pose detected
192,N/A,No pose detected
193,N/A,No pose detected
194,N/A,No pose detected
195,N/A,No pose detected
196,N/A,No pose detected
197,N/A,No pose detected
198,N/A,No pose detected
199,N/A,No pose detected
200,N/A,No pose detected
201,N/A,No pose detected
202,N/A,No pose detected
203,N/A,No pose detected
204,N/A,No pose detected
205,N/A,No pose detected
206,N/A,No pose detected
207,N/A,No pose detected
208,N/A,No pose detected
209,N/A,No pose detected
210,N/A,No pose detected
211,N/A,No pose detected
212,N/A,No pose detected
213,N/A,No pose detected
214,N/A,No pose detected
215,N/A,No pose detected
216,N/A,No pose detected
217,N/A,No pose detected
218,N/A,No pose detected
219,N/A,No pose detected
220,N/A,No pose detected
221,N/A,No pose detected
222,N/A,No pose detected
223,N/A,No pose detected
224,N/A,No pose detected
225,N/A,No pose detected
226,N/A,No pose detected
227,N/A,No pose detected
228,N/A,No pose detected
229,N/A,No pose detected
230,N/A,No pose detected
231,N/A,No pose detected
232,N/A,No pose detected
233,N/A,No pose detected
234,N/A,No pose detected
235,N/A,No pose detected
236,N/A,No pose detected
237,N/A,No pose detected
238,N/A,No pose detected
239,N/A,No pose detected
